feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_pearson_r,abs_spearman_rho
completion_rate,1881,-1.0,0.0,-1.0,0.0,1.0,1.0
not_completed_total,1881,0.3135217939789693,3.541776386614676e-44,0.698303137376792,3.772985249084281e-275,0.3135217939789693,0.698303137376792
reason_withdrawal_by_subject,1881,0.16835732621443864,1.990913025599697e-13,0.275318782106999,4.562941189292915e-34,0.16835732621443864,0.275318782106999
reason_adverse_event,1881,0.14197032846978458,6.226775823962773e-10,0.238630828087775,9.143728833362053e-26,0.14197032846978458,0.238630828087775
withdraw_reason_categories,1881,0.1270591051306626,3.213701108187458e-08,0.29594344607454215,2.4729766589656917e-39,0.1270591051306626,0.29594344607454215
reason_physician_decision,1881,0.11314529202410421,8.667218486231461e-07,0.1565920614354516,8.543077088122411e-12,0.11314529202410421,0.1565920614354516
reason_lost_to_follow_up,1881,0.10582634674490872,4.232803139637891e-06,0.2856995794934729,1.1591035430739572e-36,0.10582634674490872,0.2856995794934729
locationCount,1881,0.10351124841175267,6.845450550503101e-06,0.14336078396958138,4.216834226019424e-10,0.10351124841175267,0.14336078396958138
reason_lack_of_efficacy,1881,0.09729856178318971,2.367071546312654e-05,0.22789649696713704,1.385771989920166e-23,0.09729856178318971,0.22789649696713704
reason_protocol_violation,1881,0.08502885694150605,0.00022251499960266016,0.1787249449363181,5.755557710033803e-15,0.08502885694150605,0.1787249449363181
armGroupCount,1881,-0.07200396241589238,0.0017790888404723571,-0.0208495053185111,0.36612769274542367,0.07200396241589238,0.0208495053185111
maximumAgeYears,1297,0.06582885053356882,0.017738160089438494,0.09760881019399503,0.0004310718955346873,0.06582885053356882,0.09760881019399503
enrollmentCount,1881,-0.049167271303734314,0.032983744488110145,0.10511404878413624,4.91276818801739e-06,0.049167271303734314,0.10511404878413624
total_started,1881,-0.04551443624397129,0.04841650859784496,0.09648865611511663,2.7679553411286944e-05,0.04551443624397129,0.09648865611511663
mean_age,1462,0.043364297613331514,0.097429853413815,0.04652541754097869,0.075339434218657,0.043364297613331514,0.04652541754097869
std_age,1342,0.03989580765069895,0.14408805109283698,0.08641804311337642,0.0015309122957149768,0.03989580765069895,0.08641804311337642
baseline_has_height,1881,0.03384085867484617,0.14233813316840832,0.048014324143800434,0.03732221788654311,0.03384085867484617,0.048014324143800434
baseline_measure_count,1881,-0.03149929727517361,0.17207368963791672,-0.03275661512043366,0.15557642467570776,0.03149929727517361,0.03275661512043366
num_male,1727,-0.02550881774197156,0.2893814019167042,0.1081190470074752,6.697683945000062e-06,0.02550881774197156,0.1081190470074752
baseline_has_depression_scale,1881,-0.02054145749690444,0.3732538559542973,0.027814502981735906,0.22790997069880306,0.02054145749690444,0.027814502981735906
keywordCount,1881,0.02050399090307924,0.3741263972738816,0.03719008592090975,0.10686664014888769,0.02050399090307924,0.03719008592090975
conditionCount,1881,-0.018655759691413212,0.41872104878257393,-0.04190256494385152,0.06922859876564602,0.018655759691413212,0.04190256494385152
num_female,1727,-0.01665341854538048,0.48917842078532553,0.10244163558918051,1.996074158017137e-05,0.01665341854538048,0.10244163558918051
baseline_has_weight,1881,0.013990222248396189,0.5442563228747853,0.03781339005427398,0.10111298489833914,0.013990222248396189,0.03781339005427398
reason_other,1881,-0.012675303096558777,0.5827372657446784,0.2786365355911913,6.94874266450282e-35,0.012675303096558777,0.2786365355911913
interventionCount,1881,0.009407710890078429,0.6834536333485832,0.03563611142414613,0.1223416235230294,0.009407710890078429,0.03563611142414613
baseline_has_bmi,1881,-0.004036036519566257,0.8611352172040064,0.02274908757653758,0.32407865705982275,0.004036036519566257,0.02274908757653758
reason_count_total,1881,0.0013166637357231782,0.9544922814419065,0.3508519894833135,1.3215909253435974e-55,0.0013166637357231782,0.3508519894833135
minimumAgeYears,1850,0.0005430486179485989,0.9813777735699636,0.010705380176381672,0.6454029720939578,0.0005430486179485989,0.010705380176381672
hasResults,1881,,,,,,
