,importance
text_intervention_type_text__combination_product,0.026395431536234276
num__enrollmentCount,0.024054971884938905
text_brief_summary_text__disorder,0.017246634079274216
text_brief_summary_text__the,0.01597217865484853
text_condition_text__bipolar,0.015719682609081246
text_brief_summary_text__major,0.015613338973749204
text_keyword_text__glutamate,0.014514673694214096
text_brief_summary_text__and,0.013913715505926797
text_brief_summary_text__treatment,0.013094812127399283
num__num_female,0.012418474901879943
text_brief_summary_text__of,0.01202972983996752
text_brief_summary_text__be,0.01183185657528762
text_brief_summary_text__in,0.011822068009343299
num__std_age,0.011555729529939097
num__mean_age,0.011489662228834642
text_brief_summary_text__to,0.010880967583951214
text_brief_summary_text__the efficacy,0.010547218868802003
text_brief_summary_text__depressive disorder,0.010377488114266404
text_brief_summary_text__with,0.010112693598869314
text_brief_summary_text__for,0.009679363531353008
